FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,IS_DELAYED,DAY_OF_WEEK,MONTH,YEAR,DEP_HOUR,DEP_MINUTE,AIRLINE_NUM,MAJOR_ORIGIN,MAJOR_DEST,DISTANCE_CAT
2019-02-28T00:00:00.000000000Z,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2118,IAH,"Houston, TX",DEN,"Denver, CO",805,755.0,-10.0,20.0,815.0,913.0,8.0,941,921.0,-20.0,0.0,B,0.0,156.0,146.0,118.0,862.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,3,2,2019,8,5,0,1,1,1
2019-09-07T00:00:00.000000000Z,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5164,LGA,"New York, NY",STL,"St. Louis, MO",1630,1625.0,-5.0,22.0,1647.0,1753.0,4.0,1809,1757.0,-12.0,0.0,B,0.0,159.0,152.0,126.0,888.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,5,9,2019,16,30,12,1,0,1
2021-05-07T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,797,OAK,"Oakland, CA",SNA,"Santa Ana, CA",1335,1334.0,-1.0,10.0,1344.0,1447.0,10.0,1500,1457.0,-3.0,0.0,B,0.0,85.0,83.0,63.0,371.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,5,2021,13,35,3,0,0,0
2021-12-05T00:00:00.000000000Z,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3429,FAT,"Fresno, CA",SAN,"San Diego, CA",925,1055.0,90.0,9.0,1104.0,1154.0,19.0,1039,1213.0,94.0,0.0,B,0.0,74.0,78.0,50.0,314.0,0.0,0.0,0.0,0.0,94.0,1,6,12,2021,9,25,11,0,1,0
2023-07-26T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2429,STL,"St. Louis, MO",DTW,"Detroit, MI",1047,1102.0,15.0,24.0,1126.0,1340.0,10.0,1315,1350.0,35.0,0.0,B,0.0,88.0,108.0,74.0,440.0,1.0,0.0,20.0,0.0,14.0,1,2,7,2023,10,47,1,0,1,0
2020-08-26T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,124,AUS,"Austin, TX",OAK,"Oakland, CA",1320,1327.0,7.0,14.0,1341.0,1453.0,6.0,1500,1459.0,-1.0,0.0,B,0.0,220.0,212.0,192.0,1497.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,2,8,2020,13,20,3,1,0,2
2023-06-19T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,402,DFW,"Dallas/Fort Worth, TX",PHL,"Philadelphia, PA",832,822.0,-10.0,19.0,841.0,1228.0,4.0,1255,1232.0,-23.0,0.0,B,0.0,203.0,190.0,167.0,1303.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,6,2023,8,32,4,1,1,2
2019-05-29T00:00:00.000000000Z,JetBlue Airways,JetBlue Airways: B6,B6,20409,495,HPN,"White Plains, NY",MCO,"Orlando, FL",1440,1435.0,-5.0,17.0,1452.0,1703.0,19.0,1729,1722.0,-7.0,0.0,B,0.0,169.0,167.0,131.0,972.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,2,5,2019,14,40,7,0,1,1
2023-02-18T00:00:00.000000000Z,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2649,ORD,"Chicago, IL",LAX,"Los Angeles, CA",1810,1840.0,30.0,25.0,1905.0,2052.0,20.0,2026,2112.0,46.0,0.0,B,0.0,256.0,272.0,227.0,1744.0,24.0,0.0,16.0,0.0,6.0,1,5,2,2023,18,10,0,1,1,3
2019-09-09T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3342,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",935,1329.775913,10.12332618,16.64304562,1352.360989,1462.499569,7.678982184,1100,1466.511162,4.26085815,1.0,C,0.0,85.0,136.6205411,112.3108396,337.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,9,2019,9,35,3,1,1,0
